Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Shane Watson,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field first,RR , 5 wickets ,Wickets,142,61,2013
League,Kieron Pollard,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat first,MI , 7 wickets ,Wickets,179,62,2013
League,Adam Gilchrist,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 7 wickets ,Wickets,175,63,2013
League,MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat first,CSK , 33 runs,Runs,169,64,2013
League,Manish Pandey,"JSCA International Stadium Complex, Ranchi",Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Field first,Warriors , 7 runs,Runs,171,65,2013
League,Aditya Tare,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field first,MI , 14 runs,Runs,167,66,2013
League,David Miller,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field first,Kings XI , 7 runs,Runs,172,67,2013
League,Amit Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat first,SRH , 23 runs,Runs,137,68,2013
League,Azhar Mahmood,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field first,Kings XI , 50 runs,Runs,184,69,2013
League,Virat Kohli,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field first,RCB , 24 runs,Runs,107,70,2013
League,Luke Wright,"Subrata Roy Sahara Stadium, Pune",Pune Warriors,Delhi Daredevils,Pune Warriors,Bat first,Warriors , 38 runs,Runs,173,71,2013
League,Parthiv Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat first,SRH , 5 wickets ,Wickets,131,72,2013
Qualifier 1,Michael Hussey,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat first,CSK , 48 runs,Runs,193,73,2013
Eliminator,Brad Hodge,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat first,RR , 4 wickets ,Wickets,133,74,2013
Qualifier 2,Harbhajan Singh,"Eden Gardens, Kolkata",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat first,MI , 4 wickets ,Wickets,166,75,2013
Final,Kieron Pollard,"Eden Gardens, Kolkata",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,MI , 23 runs,Runs,149,76,2013
League,Jacques Kallis,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat first,KKR , 41 runs,Runs,164,1,2014
League,Yuzvendra Chahal,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 8 wickets ,Wickets,146,2,2014
League,Glenn Maxwell,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat first,Kings XI , 6 wickets ,Wickets,206,3,2014
League,Ajinkya Rahane,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field first,RR , 4 wickets ,Wickets,134,4,2014
League,Parthiv Patel,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 7 wickets ,Wickets,116,5,2014
League,Jean-Paul Duminy,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat first,Daredevils , 4 wickets ,Wickets,167,6,2014
League,Glenn Maxwell,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 7 wickets ,Wickets,192,7,2014
League,Suresh Raina,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat first,CSK , 93 runs,Runs,178,8,2014
League,Glenn Maxwell,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,Kings XI , 72 runs,Runs,194,9,2014
League,Ravindra Jadeja,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field first,CSK , 7 runs,Runs,141,10,2014
League,Chris Lynn,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,KKR , 2 runs,Runs,151,11,2014
League,Aaron Finch,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat first,SRH , 4 runs,Runs,185,12,2014
League,Mohit Sharma,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,CSK , 7 wickets ,Wickets,142,13,2014
League,Pravin Tambe,"Sheikh Zayed Stadium, Abu Dhabi",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field first,RR , 6 wickets ,Wickets,71,14,2014
League,Sandeep Sharma,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field first,Kings XI , 23 runs,Runs,133,15,2014
League,Murali Vijay,Sharjah Cricket Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat first,Daredevils , 6 wickets ,Wickets,126,16,2014
League,Dwayne Smith,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Bat first,CSK , 5 wickets ,Wickets,146,17,2014
League,Sandeep Sharma,Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 5 wickets ,Wickets,125,18,2014
League,James Faulkner,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat first,Tied,Tied,Tied,153,19,2014
League,Bhuvneshwar Kumar,Dubai International Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field first,SRH , 15 runs,Runs,173,20,2014
League,Ravindra Jadeja,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat first,CSK , 34 runs,Runs,149,21,2014
League,Corey Anderson,"Wankhede Stadium, Mumbai",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat first,MI , 5 wickets ,Wickets,169,22,2014
League,Karun Nair,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field first,RR , 7 wickets ,Wickets,153,23,2014
League,AB de Villiers,"M Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 4 wickets ,Wickets,156,24,2014
League,Pravin Tambe,"Sardar Patel Stadium, Motera, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field first,RR , 10 runs,Runs,171,25,2014
League,Dwayne Smith,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 8 wickets ,Wickets,179,26,2014
League,Rohit Sharma,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,MI , 19 runs,Runs,188,27,2014
League,Gautam Gambhir,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat first,KKR , 8 wickets ,Wickets,161,28,2014
League,Glenn Maxwell,"Barabati Stadium, Cuttack",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field first,Kings XI , 44 runs,Runs,232,29,2014
League,Bhuvneshwar Kumar,"Sardar Patel Stadium, Motera, Ahmedabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field first,SRH , 32 runs,Runs,135,30,2014
League,Sandeep Sharma,"M Chinnaswamy Stadium, Bangalore",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,Kings XI , 32 runs,Runs,199,31,2014
League,Dale Steyn,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,SRH , 8 wickets ,Wickets,144,32,2014
League,Dwayne Smith,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 4 wickets ,Wickets,158,33,2014
League,Gautam Gambhir,"Barabati Stadium, Cuttack",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 9 wickets ,Wickets,150,34,2014
League,James Faulkner,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat first,RR , 5 wickets ,Wickets,191,35,2014
League,Ambati Rayudu,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat first,MI , 7 wickets ,Wickets,158,36,2014
League,Ravindra Jadeja,"JSCA International Stadium Complex, Ranchi",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat first,CSK , 5 wickets ,Wickets,149,37,2014
League,Yuvraj Singh,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field first,RCB , 16 runs,Runs,187,38,2014
League,Wriddhiman Saha,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 6 wickets ,Wickets,206,39,2014
League,Robin Uthappa,"Barabati Stadium, Cuttack",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 6 wickets ,Wickets,142,40,2014
League,Ajinkya Rahane,"Sardar Patel Stadium, Motera, Ahmedabad",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field first,RR , 62 runs,Runs,202,41,2014
League,AB de Villiers,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat first,RCB , 5 wickets ,Wickets,139,42,2014
League,Umesh Yadav,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat first,KKR , 7 wickets ,Wickets,143,43,2014
League,Michael Hussey,"Sardar Patel Stadium, Motera, Ahmedabad",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat first,MI , 25 runs,Runs,179,44,2014
League,Axar Patel,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 4 wickets ,Wickets,165,45,2014
League,David Warner,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Bat first,SRH , 7 wickets ,Wickets,161,46,2014
League,Robin Uthappa,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 8 wickets ,Wickets,155,47,2014
League,Lendl Simmons,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field first,MI , 7 wickets ,Wickets,157,48,2014
League,Robin Uthappa,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,KKR , 30 runs,Runs,196,49,2014
League,David Warner,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,SRH , 6 wickets ,Wickets,186,50,2014
League,Michael Hussey,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field first,MI , 15 runs,Runs,174,51,2014
League,Shaun Marsh,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field first,Kings XI , 16 runs,Runs,180,52,2014
League,MS Dhoni,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 8 wickets ,Wickets,155,53,2014
League,Yusuf Pathan,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 4 wickets ,Wickets,161,54,2014
League,Manan Vohra,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 7 wickets ,Wickets,116,55,2014
League,Corey Anderson,"Wankhede Stadium, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Field first,MI , 5 wickets ,Wickets,190,56,2014
Qualifier 1,Umesh Yadav,"Eden Gardens, Kolkata",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field first,KKR , 28 runs,Runs,164,57,2014
Eliminator,Suresh Raina,"Brabourne Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 7 wickets ,Wickets,174,58,2014
Qualifier 2,Virender Sehwag,"Wankhede Stadium, Mumbai",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field first,Kings XI , 24 runs,Runs,227,59,2014
Final,Wriddhiman Saha,"M Chinnaswamy Stadium, Bangalore",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 3 wickets ,Wickets,200,60,2014
League,Morne Morkel,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 7 wickets ,Wickets,169,1,2015
League,Ashish Nehra,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field first,CSK , 1 run, 1 run,151,2,2015
League,James Faulkner,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field first,RR , 26 runs,Runs,163,3,2015
League,Brendon McCullum,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat first,CSK , 45 runs,Runs,210,4,2015
League,Chris Gayle,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 3 wickets ,Wickets,178,5,2015
League,Deepak Hooda,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field first,RR , 3 wickets ,Wickets,185,6,2015
League,George Bailey,"Wankhede Stadium, Mumbai",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field first,Kings XI , 18 runs,Runs,178,7,2015
League,David Warner,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,SRH , 8 wickets ,Wickets,167,8,2015
League,Steven Smith,"Sardar Patel Stadium, Motera, Ahmedabad",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat first,RR , 7 wickets ,Wickets,165,9,2015
League,Mayank Agarawal,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat first,Daredevils , 5 wickets ,Wickets,166,10,2015
League,Ajinkya Rahane,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field first,RR , 6 wickets ,Wickets,128,11,2015
League,Ashish Nehra,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,CSK , 6 wickets ,Wickets,184,12,2015
League,Jean-Paul Duminy,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat first,Daredevils , 4 runs,Runs,168,13,2015
League,Andre Russell,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 4 wickets ,Wickets,156,14,2015
League,Ajinkya Rahane,"Sardar Patel Stadium, Motera, Ahmedabad",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat first,RR , 8 wickets ,Wickets,157,15,2015
League,Harbhajan Singh,"M Chinnaswamy Stadium, Bangalore",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,MI , 18 runs,Runs,210,16,2015
League,Umesh Yadav,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 6 wickets ,Wickets,147,17,2015
League,Shaun Marsh,"Sardar Patel Stadium, Motera, Ahmedabad",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field first,Tied,Tied,Tied,192,18,2015
League,David Warner,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field first,SRH , 16 runs ,Runs,177,19,2015
League,Suresh Raina,"M Chinnaswamy Stadium, Bangalore",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,CSK , 27 runs,Runs,182,20,2015
League,Shreyas Iyer,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Mumbai Indians,Mumbai Indians,Field first,Daredevils , 37 runs,Runs,191,21,2015
League,Mitchell Starc,"Sardar Patel Stadium, Motera, Ahmedabad",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 9 wickets ,Wickets,131,22,2015
League,Lasith Malinga,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat first,MI , 20 runs,Runs,158,23,2015
League,Brendon McCullum,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat first,CSK , 97 runs,Runs,193,24,2015
League,Nil,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Nil,Nil,Nil,Nil,Nil,Nil,25,2015
League,Varun Aaron,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 10 wickets ,Wickets,96,26,2015
League,Trent Boult,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field first,SRH , 20 runs,Runs,151,27,2015
League,Dwayne Bravo,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field first,CSK , 2 runs,Runs,135,28,2015
League,Nil,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field first,Nil,Nil,Nil,201,29,2015
League,Andre Russell,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field first,KKR , 7 wickets ,Wickets,166,30,2015
League,Nathan Coulter-Nile,"Feroz Shah Kotla, Delhi",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field first,Daredevils , 9 wickets ,Wickets,119,31,2015
League,Ambati Rayudu,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field first,MI , 8 runs,Runs,188,32,2015
League,Mandeep Singh,"M Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 7 wickets ,Wickets,112,33,2015
League,David Warner,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field first,SRH , 22 runs,Runs,193,34,2015
League,Lendl Simmons,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat first,MI , 23 runs,Runs,173,35,2015
League,Ajinkya Rahane,"Brabourne Stadium, Mumbai",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field first,RR , 14 runs,Runs,190,36,2015
League,Suresh Raina,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat first,CSK , 24 runs,Runs,149,37,2015
League,Umesh Yadav,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,KKR , 35 runs,Runs,168,38,2015
League,Harbhajan Singh,"Wankhede Stadium, Mumbai",Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat first,MI , 5 wickets ,Wickets,153,39,2015
League,Chris Gayle,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field first,RCB , 138 runs,Runs,227,40,2015
League,Eoin Morgan,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field first,SRH , 7 runs,Runs,202,41,2015
League,Piyush Chawla,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat first,KKR , 13 runs,Runs,172,42,2015
League,Hardik Pandya,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat first,MI , 6 wickets ,Wickets,159,43,2015
League,Andre Russell,"Eden Gardens, Kolkata",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat first,KKR , 1 wicket , 1 wicket ,184,44,2015
League,Moises Henriques,"Shaheed Veer Narayan Singh International Stadium, Raipur",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat first,SRH , 6 runs,Runs,164,45,2015
League,AB de Villiers,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat first,RCB , 39 runs,Runs,236,46,2015
League,Ravindra Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat first,CSK , 12 runs,Runs,158,47,2015
League,David Warner,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Bat first,SRH , 5 runs,Runs,186,48,2015
League,Zaheer Khan,"Shaheed Veer Narayan Singh International Stadium, Raipur",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat first,Daredevils , 6 wickets ,Wickets,120,49,2015
League,Axar Patel,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,Kings XI , 22 runs,Runs,107,50,2015
League,Hardik Pandya,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field first,MI , 5 runs,Runs,172,51,2015
League,Virat Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat first,RCB , 6 wickets ,Wickets,136,52,2015
League,Pawan Negi,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat first,CSK , 7 wickets ,Wickets,131,53,2015
League,Shane Watson,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat first,RR , 9 runs,Runs,200,54,2015
League,Nil,"M Chinnaswamy Stadium, Bangalore",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,Nil,Nil,Nil,188,55,2015
League,Mitchell McClenaghan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat first,MI , 9 wickets ,Wickets,114,56,2015
Qualifier 1,Kieron Pollard,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,MI , 25 runs,Runs,188,57,2015
Eliminator,AB de Villiers,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat first,RCB , 71 runs,Runs,181,58,2015
Qualifier 2,Ashish Nehra,"JSCA International Stadium Complex, Ranchi",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 3 wickets ,Wickets,140,59,2015
Final,Rohit Sharma,"Eden Gardens, Kolkata",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field first,MI , 41 runs,Runs,203,60,2015
